,model_name,temp_uncertainty,test_error,test_std,is_weekend
0,linears,0,162.4419009412309,0.0,1
1,linears,1,162.60199711253335,0.883875667566578,1
2,linears,2,166.13559272428674,1.8478549746977873,1
3,linears,3,172.63058486901159,2.6936573018645706,1
4,linears,4,182.7564211384812,3.1772629444792932,1
5,linears,5,194.91646324304864,4.342988352246772,1
6,linears,6,211.4953301394705,4.617111683756174,1
7,linears,7,228.251719869551,5.732293969670101,1
8,linears,8,249.8064108154086,7.552476767868215,1
9,linears,9,272.01306874411296,8.087763248049098,1
10,linears,10,296.8281696762159,9.89629918677736,1
11,ridges,0,161.75660403771295,0.0,1
12,ridges,1,161.87770513261796,1.0111812150352,1
13,ridges,2,165.93166464328078,1.8082423021660625,1
14,ridges,3,172.81900447800174,2.441858085784695,1
15,ridges,4,182.96961256403222,2.997986508034556,1
16,ridges,5,195.99335328624437,4.06690182672542,1
17,ridges,6,212.75582904553315,5.208097178920669,1
18,ridges,7,230.36988774722212,5.818865801522898,1
19,ridges,8,249.03118059510044,7.083092775515424,1
20,ridges,9,272.2482471334617,7.186572931953198,1
21,ridges,10,297.35324744877624,10.076340484482385,1
22,lassos,0,161.0659987000703,0.0,1
23,lassos,1,161.49899787769726,0.9233527683181441,1
24,lassos,2,165.37195618361048,1.4802084975475016,1
25,lassos,3,171.3051262686395,2.4393105610893446,1
26,lassos,4,180.99885260258637,3.3952859277186533,1
27,lassos,5,193.18151289120746,3.550929274147309,1
28,lassos,6,208.59361196688067,4.871375349496061,1
29,lassos,7,224.08890334933986,5.231728927702776,1
30,lassos,8,243.75827488199832,6.683600120391328,1
31,lassos,9,265.0575882005823,7.23164149685873,1
32,lassos,10,287.48559753731183,10.375521528962551,1
33,xgb_best_per_hour,0,157.3024474151339,0.0,1
34,xgb_best_per_hour,1,158.93033074175744,1.302441237155848,1
35,xgb_best_per_hour,2,166.7258407765322,2.2465296414568634,1
36,xgb_best_per_hour,3,177.9759282883907,3.514109355600622,1
37,xgb_best_per_hour,4,191.2930546255044,4.184883381030727,1
38,xgb_best_per_hour,5,203.17731222719024,5.522432318419181,1
39,xgb_best_per_hour,6,214.9930952103943,5.471779828582161,1
40,xgb_best_per_hour,7,228.681562836154,6.0104403646570335,1
41,xgb_best_per_hour,8,238.6640582678187,7.67081741852775,1
42,xgb_best_per_hour,9,248.99404207117226,7.695039893232131,1
43,xgb_best_per_hour,10,259.5588600254633,8.077424907595354,1
44,xgb_best_max_hour,0,157.1239120591152,0.0,1
45,xgb_best_max_hour,1,160.66125850420136,1.2443845565954728,1
46,xgb_best_max_hour,2,168.83381032404537,2.463315145017976,1
47,xgb_best_max_hour,3,179.76441254341754,3.702643182380644,1
48,xgb_best_max_hour,4,191.53939448996272,3.7825353526808314,1
49,xgb_best_max_hour,5,204.96977828188807,5.2498952315333085,1
50,xgb_best_max_hour,6,216.63060720185138,5.564743034602861,1
51,xgb_best_max_hour,7,228.247477700676,6.374318742463578,1
52,xgb_best_max_hour,8,238.6836741114158,5.826416318569247,1
53,xgb_best_max_hour,9,249.57471898855002,6.589193669355091,1
54,xgb_best_max_hour,10,258.36252452872765,6.878296881828505,1
55,lin_xgb_best_per_hour,0,155.63192218407755,0.0,1
56,lin_xgb_best_per_hour,1,157.3808996442374,2.0702688796099395,1
57,lin_xgb_best_per_hour,2,167.57547447339152,2.7276248112149553,1
58,lin_xgb_best_per_hour,3,182.1238491367198,3.2948937013633945,1
59,lin_xgb_best_per_hour,4,199.87182026764953,4.32978817321805,1
60,lin_xgb_best_per_hour,5,220.66768357748285,5.690772483866779,1
61,lin_xgb_best_per_hour,6,242.65363047116708,6.548126975580786,1
62,lin_xgb_best_per_hour,7,267.8141964917084,7.612105070908665,1
63,lin_xgb_best_per_hour,8,292.16727018234207,9.09427141282309,1
64,lin_xgb_best_per_hour,9,318.0976442645141,10.423297395124502,1
65,lin_xgb_best_per_hour,10,350.2378499210242,11.693095184799784,1
66,lin_xgb_best_max_hour,0,154.38851699280892,0.0,1
67,lin_xgb_best_max_hour,1,157.06624193405872,1.3361108883631836,1
68,lin_xgb_best_max_hour,2,167.0085680235334,2.822949936340498,1
69,lin_xgb_best_max_hour,3,181.1538071015007,3.479473120058678,1
70,lin_xgb_best_max_hour,4,198.58253092953163,4.945134219752847,1
71,lin_xgb_best_max_hour,5,218.56153910059024,5.708731048370602,1
72,lin_xgb_best_max_hour,6,241.51428530574324,6.460951898941906,1
73,lin_xgb_best_max_hour,7,265.5671553487418,7.9747741110201025,1
74,lin_xgb_best_max_hour,8,288.89445362005506,9.275949309610702,1
75,lin_xgb_best_max_hour,9,317.59406676054715,10.062358779186527,1
76,lin_xgb_best_max_hour,10,343.1518725497083,11.254608350984292,1
0,linears,0,154.59559598035935,0.0,0
1,linears,1,158.32041995536153,0.6245062334524134,0
2,linears,2,163.05367707489242,1.1761701466254821,0
3,linears,3,171.65224675789952,1.6139287568529033,0
4,linears,4,182.68224837856297,2.007697809852043,0
5,linears,5,196.9744020566532,2.6030422147194194,0
6,linears,6,213.60128410329062,3.189343443585869,0
7,linears,7,231.77205227835964,4.700807247212997,0
8,linears,8,253.19516969863616,5.111862585187374,0
9,linears,9,275.30328907739016,5.283024777487683,0
10,linears,10,301.07624827822667,5.770758149206206,0
11,ridges,0,156.93117996927333,0.0,0
12,ridges,1,160.0583323219385,0.584174899407269,0
13,ridges,2,164.56082654793846,1.0186079847678544,0
14,ridges,3,171.74883193802611,1.5396887848531868,0
15,ridges,4,182.3789778475367,2.1213661353753155,0
16,ridges,5,194.6845023123156,2.7313498253065633,0
17,ridges,6,210.37086570607391,3.372737222515778,0
18,ridges,7,227.44061620048532,3.9857822199692996,0
19,ridges,8,248.391086425223,4.87152170957067,0
20,ridges,9,269.1776472813427,5.495952191243895,0
21,ridges,10,292.0216008931193,6.0532274250121745,0
22,lassos,0,156.6724272902051,0.0,0
23,lassos,1,159.5537850108972,0.5126475905458902,0
24,lassos,2,163.6872369933642,0.9592072986095443,0
25,lassos,3,171.07978227838817,1.6378058176062398,0
26,lassos,4,180.80694063665317,2.1732985194054177,0
27,lassos,5,192.9413340173049,2.1935423046728095,0
28,lassos,6,208.22530187579667,3.0905326290597137,0
29,lassos,7,225.15347841872995,3.7024715657808374,0
30,lassos,8,244.09555706624644,4.7394611879036415,0
31,lassos,9,264.8588953729326,5.48080218872394,0
32,lassos,10,284.95829330996236,6.4458508171204505,0
33,xgb_best_per_hour,0,155.34587476960624,0.0,0
34,xgb_best_per_hour,1,162.33278126592816,1.019909121579207,0
35,xgb_best_per_hour,2,171.25776730145984,1.777452109609579,0
36,xgb_best_per_hour,3,183.38208703024884,2.539149108110196,0
37,xgb_best_per_hour,4,196.127392014015,2.8664596097029587,0
38,xgb_best_per_hour,5,208.63148166805914,2.99267303913237,0
39,xgb_best_per_hour,6,220.5571576543685,3.4736977766922843,0
40,xgb_best_per_hour,7,231.49358529900147,4.205062742748181,0
41,xgb_best_per_hour,8,240.90407651475135,4.074031034864149,0
42,xgb_best_per_hour,9,250.41035271048128,4.895501849995538,0
43,xgb_best_per_hour,10,258.61177786680395,4.337797916825892,0
44,xgb_best_max_hour,0,154.91574144463235,0.0,0
45,xgb_best_max_hour,1,162.1044834609745,0.9981054315489615,0
46,xgb_best_max_hour,2,171.84355709845772,1.907526095648129,0
47,xgb_best_max_hour,3,183.73676616933852,2.2655008094077225,0
48,xgb_best_max_hour,4,197.07545033067964,3.0589341596277646,0
49,xgb_best_max_hour,5,209.96613765731672,3.570999874815249,0
50,xgb_best_max_hour,6,221.44124391350567,3.9631673761834736,0
51,xgb_best_max_hour,7,232.79297972644054,4.59897459716213,0
52,xgb_best_max_hour,8,242.08232579712976,4.847736657451108,0
53,xgb_best_max_hour,9,251.1137008280661,4.564330429052117,0
54,xgb_best_max_hour,10,259.1925758253954,4.800584367436126,0
55,lin_xgb_best_per_hour,0,144.51776886297037,0.0,0
56,lin_xgb_best_per_hour,1,157.31386243411214,1.1091347500805953,0
57,lin_xgb_best_per_hour,2,169.2894386996322,1.9184635346176666,0
58,lin_xgb_best_per_hour,3,186.57587777684654,2.6218468177236263,0
59,lin_xgb_best_per_hour,4,206.3593482707412,3.015954985080302,0
60,lin_xgb_best_per_hour,5,229.2152578582018,3.9394386463428708,0
61,lin_xgb_best_per_hour,6,252.19193316947243,4.860840144187333,0
62,lin_xgb_best_per_hour,7,278.75319960993846,5.425968093160585,0
63,lin_xgb_best_per_hour,8,304.49459175750565,6.256331217093848,0
64,lin_xgb_best_per_hour,9,331.7133996586784,7.22236033755315,0
65,lin_xgb_best_per_hour,10,359.46997022737213,7.763678610921346,0
66,lin_xgb_best_max_hour,0,143.96476069283855,0.0,0
67,lin_xgb_best_max_hour,1,156.21100701355996,0.9922668294446857,0
68,lin_xgb_best_max_hour,2,168.25720299931135,1.7058105594526738,0
69,lin_xgb_best_max_hour,3,184.6670275229796,2.60717119832685,0
70,lin_xgb_best_max_hour,4,204.91122051412285,3.0440997622957795,0
71,lin_xgb_best_max_hour,5,228.25496606756977,3.924427861746448,0
72,lin_xgb_best_max_hour,6,251.63290375957058,4.630179588588208,0
73,lin_xgb_best_max_hour,7,275.9625056095251,5.5154893097574975,0
74,lin_xgb_best_max_hour,8,302.55615194262975,5.961146537897797,0
75,lin_xgb_best_max_hour,9,329.65195120690134,6.521146166308943,0
76,lin_xgb_best_max_hour,10,356.95426676030434,6.3676285781902795,0
